sl.no,rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z,class
74,0.112614,-0.186041,0.258943,0.133789,0.136747,0.219573,0
75,-0.464327,0.637071,0.312611,-0.105667,0.061571,0.175465,0
76,-0.790192,0.638741,0.177873,-0.177911,-0.323714,0.294405,0
77,-1.153645,0.704933,-0.075783,-0.190227,-0.557166,0.3388,0
78,-1.533285,0.66927,-0.152096,-0.169198,-0.586283,0.35004,0
79,-1.968862,0.676893,-0.082509,-0.087053,-0.435473,0.315407,0
80,-2.433026,0.602162,0.093805,-0.016429,-0.230631,0.2141,0
81,-3.019324,-0.057838,0.749649,-0.035533,0.255192,-0.101835,0
82,-3.21836,-1.389535,1.213573,-0.066964,0.316622,-0.351847,0
83,-3.099586,-3.681593,0.740913,-0.207186,0.194652,-0.681638,0
84,-2.083312,-4.073869,0.45689,-0.416314,-0.08224,-0.025457,0
85,-0.867417,-0.167283,0.413375,-0.427945,-0.140329,0.199518,0
86,-0.008364,2.66987,0.120911,-0.538303,-0.145005,-0.270438,0
87,0.303212,0.845725,-0.050832,-0.165505,-0.234136,0.31807,0
88,1.054619,1.860357,-0.291506,0.069962,-0.303526,0.558749,0
89,1.431239,3.108265,-0.468868,0.228988,0.040324,0.212591,0
90,-0.549225,0.29931,-0.128725,1.04112,0.761196,0.367984,0
91,0.273683,-1.233404,0.168475,0.578062,0.810382,0.258658,0
92,-0.983894,-0.505396,0.353174,0.234375,0.774934,-0.107024,0
93,-0.318335,1.552682,0.317798,0.246202,0.359636,-0.076331,0
94,-0.336293,2.163715,0.175885,0.196433,0.185529,0.010604,0
95,-0.376751,0.579445,-0.003966,0.0522,0.023332,-0.100928,0
96,-0.586537,-1.24141,-0.01378,-0.144614,-0.071649,0.003194,0
97,-0.614669,-0.940555,-0.100888,-0.18957,-0.165756,0.090802,0
98,-0.551498,0.184606,-0.212984,-0.236039,-0.342253,0.049127,0
99,-0.603691,0.839174,-0.290031,-0.055239,-0.411247,-0.145724,0
100,-0.584593,0.790207,-0.315472,-0.002883,-0.479905,-0.163581,0
101,-0.475895,0.950882,-0.364057,0.137888,-0.461471,0.10427,0
102,-0.191292,1.373896,-0.108496,0.202063,-0.332239,0.07823,0
103,-0.212597,1.112257,0.337139,0.254253,-0.217768,-0.035453,0
104,-0.545335,0.286274,0.191664,0.394837,-0.104078,-0.507291,0
105,-0.438608,-0.424825,-0.292721,0.3712,-0.030992,-0.299983,0
106,-0.378465,-0.964513,-0.446501,0.375879,0.064243,-0.343484,0
107,-0.196798,-1.410174,-0.243835,0.415715,-0.028146,-0.426224,0
108,0.390516,-1.819904,-0.054405,0.487157,0.107297,-0.259383,0
109,1.008343,-2.294843,0.165231,0.49198,0.151004,-0.199776,0
110,1.426691,-3.257967,0.363804,0.31228,0.380773,0.090483,0
111,1.554372,-3.338185,0.599808,0.035702,0.663409,0.377768,0
112,1.746219,-2.649807,0.38128,-0.040106,0.813937,0.381377,0
113,2.181032,-1.626625,-0.390387,-0.184572,0.923555,0.120793,0
114,2.001922,-0.807448,-1.028279,-0.177777,0.627397,0.031082,0
115,1.878136,-0.951012,-0.451052,-0.168615,0.583821,-0.005239,0
116,1.510628,-1.656373,-0.095929,0.031867,0.579142,0.136934,0
117,0.881236,-3.170595,0.033006,0.125907,0.203429,0.397561,0
118,0.925383,-2.608165,0.269739,0.206791,0.087677,0.399327,0
119,0.348279,-2.123439,0.496891,0.184513,-0.059813,0.29792,0
120,0.054574,-2.187309,0.739544,0.108613,-0.1385,0.26379,0
121,-0.015887,-2.654789,0.756743,-0.090585,-0.220225,0.304159,0
122,-0.152191,-2.779285,0.573284,-0.237677,-0.425017,0.317639,0
123,-0.288335,-2.6438,0.376675,-0.303699,-0.560119,0.40808,0
124,-0.377674,-2.269985,0.212134,-0.253582,-0.611649,0.450893,0
125,-0.451494,-1.948646,0.103316,-0.236186,-0.590878,0.40397,0
126,-0.790932,-1.760988,0.088954,-0.103366,-0.344835,0.151669,0
127,-0.94022,-1.714779,0.117762,0.004407,-0.19055,-0.059245,0
128,-0.673934,-1.941977,0.226736,0.069463,0.223756,-0.46634,0
129,-0.163664,-1.720783,0.146695,-0.090512,0.498827,-0.870399,0
130,0.659756,-1.358008,0.08682,-0.053621,0.451325,-0.798234,0
131,0.679359,-0.211102,0.434796,0.147786,0.200488,-0.43007,0
132,0.174527,-0.036579,0.6511,-0.104539,-0.044738,-0.233842,0
133,-0.044745,-0.340607,0.946924,-0.279536,-0.243928,-0.092262,0
134,-0.154507,0.13606,0.919909,-0.134792,0.005249,0.014915,0
135,-0.921841,2.117144,0.336239,-0.281141,1.141928,0.285831,0
136,0.174634,1.083471,-1.588259,-0.565546,1.592747,-0.230052,0
137,1.563588,-0.883348,-1.380553,-0.152025,-0.017027,0.399069,0
138,-0.168322,1.058984,-1.028739,0.461647,-0.806944,0.684237,0
139,-1.211592,1.849676,-0.987901,0.570766,-0.619312,0.648357,0
140,-0.947535,3.234363,-0.907714,0.983777,-0.009906,0.551167,0
141,-0.624152,1.008665,-0.305467,0.675433,0.674179,0.223942,0
142,-1.365066,-1.423632,0.935884,0.387132,0.637452,0.083644,0
143,-2.343527,-1.309782,1.550609,0.157996,0.194335,0.226129,0
144,-2.414717,-0.978351,1.579597,-0.07237,-0.068761,0.041846,0
145,-2.27401,-0.28878,1.107542,-0.111829,-0.079684,0.042162,0
146,-1.988597,0.091405,0.890063,-0.016013,-0.102059,-0.037318,0
147,-1.802321,0.079656,0.736487,-0.007136,-0.120605,-0.050525,0
148,-1.74052,-0.088267,0.585447,-0.033616,-0.180475,-0.082152,0
149,-1.781101,-0.071294,0.372565,-0.030951,-0.176714,-0.162002,0
150,-1.540292,-0.461794,0.050008,0.061521,-0.157177,-0.115963,0
151,-1.244144,-0.553515,-0.17961,0.119982,-0.068256,-0.112382,0
152,-1.335176,-0.651178,-0.19092,0.194498,-0.024276,-0.202025,0
153,-1.407142,-1.058676,-0.253925,0.204626,-0.035426,-0.241011,0
154,-1.269145,-1.312298,-0.351981,0.216743,-0.011965,-0.279827,0
155,-0.904312,-1.019923,-0.523927,0.193942,0.079526,-0.187643,0
156,-0.497656,-0.538644,-0.55375,0.200928,0.145523,-0.20772,0
157,-0.293499,-0.626967,-0.488118,0.236531,0.204447,-0.233904,0
158,-0.154181,-1.109324,-0.395728,0.174026,0.373942,-0.35335,0
159,0.109665,-1.453498,-0.33576,0.204617,0.245976,-0.38957,0
160,0.692352,-1.780993,-0.460525,0.280928,0.19812,-0.412768,0
161,1.410233,-2.134689,-0.543719,0.401544,0.077068,-0.393905,0
162,2.364273,-2.922494,-0.430292,0.510051,-0.015104,-0.211141,0
163,2.884173,-2.673503,-0.011441,0.609538,0.052795,-0.080826,0
164,3.092298,-2.574419,0.071071,0.713609,0.310458,0.269894,0
165,2.394487,-2.910188,0.4608,0.635113,0.210809,0.633158,0
166,2.706509,-1.380568,0.219602,0.422031,0.250614,0.710116,0
167,3.213822,-0.81666,-0.047837,0.249312,0.7002,-0.13624,0
168,2.162884,-1.182177,-0.170078,0.316544,0.633683,0.454851,0
169,2.093849,-2.459405,0.146202,0.327599,0.644995,0.496593,0
170,1.921371,-3.729867,0.458546,0.266272,0.152995,0.324541,0
171,1.498143,-3.399194,0.715812,0.235237,-0.007402,0.344815,0
172,1.02574,-3.766143,1.248162,0.326729,-0.090533,0.482046,0
173,0.511808,-3.870918,1.787363,0.368144,-0.206275,0.489745,0
174,0.115495,-4.141384,2.102203,0.272658,-0.387254,0.578188,0
175,-0.065575,-3.996408,1.702306,0.129559,-0.509306,0.653845,0
176,-0.471778,-3.466802,1.214885,0.054153,-0.442442,0.589017,0
177,-0.639629,-2.750899,0.818622,-0.161993,-0.251471,0.518047,0
178,-0.694829,-1.783259,0.774267,-0.209118,-0.20207,0.441093,0
179,-0.715217,-1.17036,0.7007,-0.22258,-0.134812,0.346014,0
180,-0.771805,-0.723737,0.681573,-0.294672,-0.183042,0.26409,0
181,-0.957729,-0.638575,0.591503,-0.303377,-0.179533,0.174411,0
182,-1.263614,-0.981951,0.41355,-0.126805,-0.135687,0.046933,0
183,-1.321414,-0.845158,0.354218,0.031603,0.18267,-0.449158,0
184,-0.842224,-1.231609,0.410404,0.177806,0.336796,-0.672537,0
185,0.112742,-1.559283,0.540339,0.53827,0.651494,-0.929499,0
186,0.969159,-0.220788,1.001805,0.300841,0.119025,-0.487641,0
187,0.558405,-0.209705,1.249954,0.197796,-0.126179,-0.446408,0
188,0.003575,-0.640492,1.302178,0.259662,-0.286109,-0.19595,0
189,-0.449392,-0.174006,1.18839,0.330655,-0.008013,0.070451,0
190,-0.567057,1.922425,0.500151,-0.120416,1.166989,0.641434,0
191,1.60007,-1.389853,-0.49421,-0.685127,0.375735,-0.102567,0
192,0.642314,-0.810342,-0.463186,-0.647584,-0.450718,0.539807,0
193,-0.216746,0.005803,-0.553554,0.02885,-0.615414,0.761993,0
194,-0.622151,1.133136,-1.334428,0.408615,-0.075748,1.015157,0
195,-0.616907,1.3309,-2.308863,0.429611,0.021594,0.941999,0
196,-1.687704,0.575914,-1.721444,0.687144,1.018903,0.446345,0
197,-1.470382,-0.469752,0.642185,0.695331,0.524482,-0.333381,0
198,-1.565682,-0.760228,0.904674,0.440274,0.170949,-0.101237,0
199,-1.68366,-0.478145,1.326504,0.143726,-0.102786,0.347282,0
200,-1.715146,0.007198,1.45919,0.007184,-0.156467,0.268705,0
201,-2.096928,0.572798,1.273133,-0.04302,-0.170408,0.194686,0
202,-2.406111,0.20159,0.860075,-0.178758,-0.189064,-0.042871,0
203,-2.164328,-1.013068,0.445646,-0.247967,-0.15644,-0.201446,0
204,-1.63316,-1.318487,0.173078,-0.126266,-0.157071,-0.068186,0
205,-1.458882,-0.31241,-0.091913,-0.021412,-0.177754,-0.080959,0
206,-1.346146,0.880919,-0.244342,0.202919,-0.068176,-0.004946,0
207,-1.333708,1.196511,-0.32264,0.216386,-0.010954,-0.211751,0
208,-1.760152,0.10492,-0.298582,0.380061,-0.001513,-0.625219,0
209,-1.093371,-1.679031,-0.174135,0.394295,0.051961,-0.427625,0
210,-0.148431,-1.070729,-0.201428,0.175876,0.324892,-0.366006,0
211,0.518106,-1.01822,-0.323958,0.225222,0.388276,-0.545175,0
212,0.978892,-1.198058,-0.239324,0.344694,0.391353,-0.343806,0
213,1.174025,-0.898677,-0.151819,0.333935,0.313094,-0.179507,0
214,1.804102,-1.173839,-0.085109,0.233258,0.235866,-0.230529,0
215,3.11,-2.158063,0.357904,0.272277,0.024982,-0.230123,0
216,3.548615,-1.95386,0.060536,0.100386,0.367759,0.099089,0
217,3.276884,-2.755478,-0.103773,0.023487,0.283303,0.449354,0
218,3.001037,-2.872927,-0.329876,-0.016851,0.139467,1.088598,0
219,3.624993,-1.318676,-0.87337,0.031152,0.446254,0.388014,0
220,3.452641,-3.734474,-0.786021,0.196203,0.909688,0.366624,0
221,2.922359,-2.067218,0.180221,0.30612,0.817707,0.297636,0
222,2.422748,-0.538239,1.067805,0.219377,0.453296,0.214611,0
223,1.84849,-0.946661,1.669999,0.09129,0.051782,0.393073,0
224,1.499349,-2.21081,1.889234,0.112602,-0.317771,0.435065,0
225,0.881648,-2.28302,1.568818,0.14013,-0.832025,0.319776,0
226,0.173826,-1.74148,1.02266,0.113413,-0.819115,0.343974,0
227,-0.416798,-1.156879,0.794527,-0.00626,-0.642672,0.457097,0
228,-1.024862,-0.765541,0.693638,-0.102129,-0.543665,0.487673,0
229,-1.527573,-0.139375,0.650868,-0.14263,-0.502895,0.492102,0
230,-1.882978,0.528677,0.395429,-0.197889,-0.437538,0.550828,0
231,-2.094573,1.173753,0.166661,-0.096215,-0.437103,0.396672,0
232,-2.164221,1.374038,-0.042385,-0.03842,-0.418382,0.241698,0
233,-1.955989,1.003303,-0.21778,0.021721,-0.310308,0.016111,0
234,-2.025105,0.644069,-0.631205,-0.065503,-0.221114,0.07974,0
235,-2.069968,0.598445,-0.903856,-0.034872,-0.123938,0.144634,0
236,-1.49057,0.341018,-0.699722,-0.025833,0.150621,0.16509,0
237,-0.949233,-0.217917,0.078169,-0.035264,0.288753,0.186183,0
238,-1.546555,-0.357461,0.859318,-0.020351,0.257321,0.05822,0
239,-2.135974,-0.172412,0.914784,-0.273253,0.287433,-0.426938,0
240,-1.759136,-1.253184,0.733999,-0.503481,0.321161,-0.636468,0
241,-0.585527,-1.421797,0.324738,-0.405569,-0.210011,-0.249275,0
242,0.43907,0.883703,0.175117,0.16217,-0.282518,0.366385,0
243,1.521035,3.722986,-0.576197,0.290403,-0.145318,0.732499,0
244,1.517404,3.248782,-0.00198,0.637341,0.514906,-0.359521,0
245,-1.121465,-0.852946,0.258309,0.480927,0.364631,0.493814,0
246,0.841553,-1.268083,0.340919,0.046133,0.372639,0.301354,0
247,-0.31433,-0.121138,0.632614,-0.017154,0.301396,0.078238,0
248,0.182664,0.946035,0.792815,0.154985,0.629115,-0.348376,0
249,0.909148,2.125817,0.565641,-0.131654,0.253341,0.040634,0
250,0.947152,1.85455,-0.093907,-0.239791,-0.054151,0.140066,0
251,0.799643,0.608571,-0.330486,-0.04419,-0.208176,-0.122139,0
252,0.429203,-0.288747,-0.458076,0.040864,-0.158566,-0.162356,0
253,0.322955,0.072647,-0.432576,0.117009,-0.166631,0.051252,0
254,0.235769,0.700052,-0.346395,0.14009,-0.273468,0.153798,0
255,0.216086,0.820647,-0.118087,0.192162,-0.26253,-0.050903,0
256,0.205188,0.353857,-0.058813,0.280005,-0.224325,-0.137051,0
257,0.682302,-0.107867,-0.091208,0.408071,-0.100638,-0.189873,0
258,1.44046,-0.375998,-0.028953,0.523918,-0.065189,-0.14111,0
259,2.317954,-1.145258,0.042255,0.410652,0.191685,-0.194,0
260,2.713922,-2.438255,-0.096464,0.088521,0.530114,0.003381,0
261,2.836725,-3.752621,-0.248814,-0.249469,0.530906,0.319879,0
262,2.507827,-3.603312,-0.272667,-0.245665,0.548878,0.456747,0
263,1.671653,-2.611642,-0.055452,-0.170556,0.569146,0.407342,0
264,1.348119,-1.627641,0.037167,-0.22441,0.070684,0.157273,0
265,0.962509,-0.769752,0.285475,-0.069924,-0.09302,0.297377,0
266,0.123587,0.422752,0.364613,0.149376,-0.317089,0.447526,0
267,-0.701668,1.749558,0.146708,-0.09415,-0.16117,0.228822,0
268,-1.32916,1.673079,0.102899,-0.108081,-0.206239,0.154449,0
269,-1.718075,1.230532,0.021701,-0.070346,-0.356104,0.185041,0
270,-2.286473,1.14573,-0.123166,-0.129407,-0.437017,0.203342,0
271,-2.806285,1.262755,-0.432458,-0.12567,-0.418786,0.175085,0
272,-3.006659,1.229679,-0.511796,0.007124,-0.277968,0.016109,0
273,-2.249424,0.205728,-0.047995,0.030435,0.463977,-0.416562,0
274,-2.002828,-1.04399,0.573829,0.01518,0.531652,-0.456069,0
275,-2.494541,-1.218081,0.846219,-0.046173,0.192468,-0.236637,0
276,-2.049974,-0.903003,0.522045,-0.317307,-0.064934,-0.159863,0
277,-0.997068,-0.537749,0.442405,-0.393352,-0.11521,-0.137971,0
278,0.200558,-0.113918,0.506843,-0.406674,-0.340085,-0.017212,0
279,0.831152,1.603807,-0.163933,0.14767,-0.265549,0.72546,0
280,1.077212,2.896374,-0.207668,0.275578,0.40376,-0.03094,0
281,-0.471563,0.841622,0.027702,0.605745,0.542617,0.498529,0
282,1.076259,-0.194821,0.000317,0.280198,0.309359,0.530457,0
283,-0.267324,-1.054659,0.405436,0.261479,0.146154,0.471202,0
284,-1.001535,-0.282318,0.505072,0.302546,0.570825,-0.590784,0
285,0.213385,1.364554,0.794526,0.110431,0.65204,-0.15387,0
286,0.521262,3.273809,0.191753,-0.200969,0.17914,0.139359,0
287,0.722473,1.903407,-0.134098,-0.176057,-0.298851,-0.139015,0
288,0.354774,-0.020999,-0.484577,-0.060979,-0.326382,0.024431,0
289,0.064907,-0.584889,-0.410035,0.062746,-0.310796,-0.084683,0
290,0.168841,-0.058704,-0.218772,0.116664,-0.188571,-0.010307,0
291,0.285852,1.088041,-0.180968,0.089935,-0.197721,-0.015085,0
292,0.410641,1.154419,-0.105406,0.069422,-0.221096,-0.01481,0
293,0.257807,0.333929,0.083653,0.209117,-0.210262,-0.062446,0
294,0.741572,-0.701161,0.373574,0.495201,-0.11031,-0.118403,0
295,1.347461,-0.597367,0.26551,0.599718,-0.090986,-0.136662,0
296,2.182424,-1.141636,0.053054,0.268357,0.135372,-0.149142,0
297,2.379715,-2.082117,-0.156939,-0.14801,0.316041,0.037666,0
298,2.423704,-3.190472,-0.610274,-0.26209,0.40314,0.253361,0
299,2.416249,-3.308097,-0.492671,-0.167164,0.755771,0.351723,0
300,1.697622,-2.634749,-0.159927,-0.060484,0.63241,0.466505,0
301,1.247328,-1.430503,0.10885,-0.259979,0.259283,0.290674,0
302,1.075023,-0.633896,0.312792,-0.052006,-0.088286,0.216588,0
303,0.378396,0.521402,0.512508,0.192803,-0.137641,0.316201,0
304,-0.533578,1.624477,0.375469,0.103954,-0.105156,0.277148,0
305,-1.184316,1.535548,0.268489,-0.086693,-0.084291,0.193581,0
306,-1.627267,1.154001,0.164402,-0.17101,-0.335165,0.222359,0
307,-1.983293,1.034564,-0.028075,-0.202894,-0.415847,0.201574,0
308,-2.294143,1.124206,-0.330531,-0.174462,-0.490034,0.173776,0
309,-2.763726,1.210364,-0.68964,-0.02676,-0.426077,0.081132,0
310,-2.773215,1.064188,-0.623289,0.069655,-0.138599,-0.055928,0
311,-1.827865,-0.519993,-0.082681,0.037732,0.499981,-0.387533,0
312,-2.297193,-2.326083,0.701498,0.051059,0.353476,-0.338628,0
313,-2.444554,-1.873919,0.707367,-0.058732,0.062638,-0.227114,0
314,-1.391949,-0.593831,0.421454,-0.310419,-0.07912,-0.263248,0
315,-0.332391,0.5575,0.360082,-0.514577,-0.293494,-0.299017,0
316,0.797943,1.591245,0.338879,-0.183639,-0.392309,0.496821,0
317,2.280138,3.477033,-0.20866,0.025905,-0.28352,0.853912,0
318,1.424111,2.296129,-0.121259,0.581921,0.766377,-1.192368,0
319,-1.935985,-2.545587,-0.128911,0.704424,0.505112,0.049291,0
320,0.843987,-2.334965,-0.065965,0.652012,0.335932,0.108692,0
321,-0.72391,0.970555,0.767015,0.332204,0.820991,-0.501625,0
322,0.345202,2.251252,0.846549,0.415426,1.338269,-1.223258,0
323,1.181621,2.596963,0.248403,-0.254093,-0.461289,0.200926,0
324,0.673538,2.265245,-0.27174,-0.168671,-0.481988,0.034508,0
325,0.203898,0.037441,-0.319167,-0.072745,-0.358321,0.035624,0
326,-0.323962,-1.116343,-0.105595,0.22619,0.089844,-0.199015,0
327,-0.066442,0.033873,0.007961,0.256893,0.082498,-0.145986,0
328,0.099457,1.446373,-0.121945,0.161341,-0.115603,-0.101324,0
329,0.18531,1.006424,-0.198762,0.033586,-0.30561,-0.093454,0
330,0.202309,0.058201,-0.181404,0.046681,-0.306614,-0.145993,0
331,0.430014,-0.917759,-0.070673,0.231907,-0.091493,-0.1803,0
332,0.962173,-1.351413,0.022262,0.498883,-0.140314,-0.194563,0
333,1.629964,-1.171421,-0.013896,0.388143,-0.098547,-0.122185,0
334,2.203956,-1.703694,-0.070093,0.228095,-0.01346,0.050302,0
335,2.841839,-2.564146,-0.428799,-0.153859,0.234095,0.138628,0
336,2.64268,-3.924927,-0.682683,-0.169062,0.408959,0.384966,0
337,2.290426,-3.377557,-0.332263,-0.273451,0.655622,0.376811,0
338,1.871893,-2.231995,-0.067463,-0.162187,0.582748,0.437966,0
339,1.544391,-1.947541,0.209759,-0.167634,0.15214,0.376163,0
340,1.142005,-0.482764,0.286256,-0.027575,0.017602,0.24915,0
341,0.447943,1.250872,0.24714,0.033386,0.061949,0.090115,0
342,-0.314109,1.626512,0.209289,-0.013952,-0.100872,0.118189,0
343,-1.11806,1.548147,0.257185,-0.026973,-0.322757,0.175731,0
344,-1.797213,1.327149,0.168335,-0.083216,-0.351682,0.198596,0
345,-2.259891,1.226152,-0.014229,-0.124976,-0.37679,0.197208,0
346,-2.702332,1.36144,-0.428758,-0.101543,-0.375388,0.121855,0
347,-3.234016,1.585437,-0.838684,-0.075571,-0.238921,-0.05728,0
348,-3.154888,1.309788,-0.439331,-0.007958,0.295294,-0.362008,0
349,-2.246793,-0.673859,0.396358,0.102104,0.730904,-0.419917,0
350,-2.385786,-1.989692,0.571193,0.111022,0.054693,-0.158638,0
351,-1.865627,-1.828753,0.366317,-0.257163,-0.461356,-0.139608,0
352,-0.659733,-1.184609,0.47326,-0.345146,-0.589203,-0.087192,0
353,0.724787,0.280161,0.596327,-0.224118,-0.748677,0.508365,0
354,1.116996,2.714254,0.272277,0.022476,-0.502,0.405386,0
355,0.724552,2.556728,0.312466,0.05004,-0.128655,0.095433,0
356,-2.212726,0.11475,0.020545,0.41437,1.22092,-0.385308,0
357,1.306718,-1.415203,0.220141,0.416092,0.549803,0.116832,0
358,0.486239,0.791393,0.295972,0.192977,0.192138,0.48563,0
359,0.245906,1.067618,0.158275,-0.045781,-0.141847,0.353398,0
360,-0.633291,0.479948,0.297097,0.266436,0.465366,-0.418233,0
361,0.251744,1.045985,0.501243,0.246751,0.523165,-0.293089,0
362,0.638881,2.514082,-0.136731,-0.1214,-0.056569,0.075652,0
363,0.706473,1.392079,-0.394399,0.000653,-0.345441,-0.274071,0
364,0.283089,-0.029512,-0.431854,0.109499,-0.24286,-0.189545,0
365,0.257547,-0.225434,-0.165794,0.208812,-0.108353,-0.100985,0
366,0.412469,0.374646,0.149644,0.190103,-0.19471,-0.068642,0
367,0.681817,0.362479,0.028696,0.210897,-0.216197,0.022774,0
368,1.206453,-0.385145,0.056819,0.312725,-0.223736,-0.124521,0
369,1.760045,-0.912157,0.034656,0.315366,-0.216531,-0.092539,0
370,2.499334,-1.873494,0.041052,0.28445,0.120646,-0.080181,0
371,2.665336,-2.891631,-0.16906,0.056704,0.352523,0.042591,0
372,2.546453,-3.850448,-0.315008,-0.063007,0.649185,0.278415,0
373,2.184134,-3.336456,-0.133395,-0.045783,0.749043,0.396565,0
374,1.614893,-2.111152,0.03411,-0.0403,0.718837,0.529998,0
375,1.283237,-0.912433,0.250311,-0.357407,0.007148,0.173746,0
